 Commenter , Information Requested , Type of Information Needed 
 Not specified (individual commenter) ," Parental choice to vaccinate young children against COVID-19, similar to influenza vaccine ", Policy/Regulatory Change 
 Not specified (individual commenter) , Consideration of the benefits of vaccination for healthy young adults to reduce transmission to vulnerable individuals , Scientific/Epidemiological Data 
 --- , --- , --- 
 James Anthony ," Data on the effectiveness of vitamins, supplements, and other treatments in preventing and treating viral infections such as COVID-19 and the common cold "," Scientific evidence, clinical trial data "
 James Anthony ," Information on the safety and efficacy of treatments such as ivermectin, hydroxychloroquine, and quercetin in treating viral infections "," Scientific evidence, clinical trial data "
 James Anthony , Details on the suppression of independent clinical practice and teaching by establishment groups ," Regulatory information, freedom of speech protection "
 James Anthony ," Data on the comparison of pharma approaches vs. independent approaches in terms of safety, efficacy, and cost "," Economic analysis, comparative effectiveness research "
 James Anthony , Information on the potential risks and benefits of vaccines and mRNA therapies ," Scientific evidence, risk-benefit analysis "
 James Anthony ," Support for decentralized, independent clinical practice and treatment approaches "," Regulatory reform, healthcare policy "
 --- , --- , --- 
" Anonymous (husband of a disabled, chronically ill wife) "," Universal access to updated COVID vaccines for all ages, removal of restrictions on COVID vaccinations, and provision of vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) "," Policy change, vaccine accessibility, and vaccine development "
,,
,,
,,
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before an upcoming committee meeting , Procedural/timeframe information 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy/recommendation information 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial/coverage information 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/medical information 
 Not specified (public commenter) , Updates to all vaccine types to better match emerging variants , Scientific/medical information 
 Not specified (public commenter) , Access to all vaccine options made by all three manufacturers , Product/access information 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Product/development information 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain in the next six months , Scientific/medical information 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing access limitations due to financial and demographic constraints ", Policy/recommendation information 
 Not specified (public commenter) , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Policy/programmatic information 
 Not specified (public commenter) ," Accountability from Dr. Marty Makary, commissioner of the FDA, to prioritize long-term public welfare over short-term financial or economic analyses ", Accountability/transparency information 
 --- , --- , --- 
 Anonymous ( likely a citizen of Nannup) ," Investigation into DNA contamination in COVID-19 vaccines, suspension of vaccines, and advocacy for the community "," Scientific data, regulatory action, and community representation "
 Anonymous ," Transparency about the influence of Big Pharma on medical schools, regulatory agencies, and politicians "," Information on conflicts of interest, financial disclosures, and industry influence "
 Anonymous ," Acknowledgement of the potential risks and harms associated with COVID-19 vaccines, including diminished immunity and autoimmune diseases "," Scientific evidence, study data, and expert opinions "
 Anonymous ," Action from the council to address concerns about vaccine safety and efficacy, including voting on motions passed at the AGM "," Policy action, community engagement, and representation "
 Anonymous , Recognition of the limitations and potential biases of mainstream media and the importance of considering alternative perspectives ," Critical evaluation of information sources, media literacy, and open-mindedness "
 --- , --- , --- 
 Not specified (public comment) , Universal access to updated COVID vaccines , Policy/Regulatory Change 
 Not specified (public comment) , Vaccines recommended for individuals of all ages , Policy/Regulatory Change 
 Not specified (public comment) , Full coverage of vaccines by public funds/insurance at regular intervals (every 6 months) , Policy/Regulatory Change 
